CollegeGPA,Gender,HSGPA,ACT,APHours,JobHours,School,LanguagesSpoken,HSHonorsClasses,SmokeInHS,PayCollegeNoLoans,ClubsInHS,JobInHS,Churchgoer,Height,Weight,Family,Pet
2.75,Male,3.4,25,0,20,Public,1,2,No,Yes,2,No,No,74,185,Oldest Child,Dog
2.75,Female,2.98,25,6,20,Public,1,2,No,No,3,Yes,No,60,120,Oldest Child,Dog
3.37,Male,3.6,24,0,30,Public,1,2,No,Yes,5,No,Yes,74,190,Oldest Child,Dog
2.5,Female,3.7,24,0,32,Public,1,2,No,Yes,2,Yes,No,67,128,Youngest Child,Dog
3.53,Female,3.8,26,3,35,Public,1,2,No,Yes,2,Yes,No,62,145,Youngest Child,Dog
2.97,Female,3.7,24,3,0,Public,2,2,No,No,5,Yes,No,63,115,Oldest Child,Cat
3.56,Male,2.9,29,4,0,Public,2,2,No,Yes,5,Yes,No,74,192,Youngest Child,Dog
3.54,Male,3.3,22,15,0,Public,2,2,Yes,No,4,Yes,No,76,295,Only Child,Dog
3.12,Male,3.89,26,0,10,Public,2,2,No,Yes,3,Yes,Yes,75,185,Oldest Child,Dog
2.55,Male,3.2,25,12,0,Private,3,2,No,Yes,4,Yes,No,67,145,Youngest Child,Neither
3,Female,3.4,25,0,0,Private,1,3,No,Yes,5,No,Yes,69,168,Oldest Child,Dog
3.43,Female,3.97,23,0,8,Private,1,3,No,Yes,14,No,Yes,61.5,127,Middle Child,Both
3.78,Male,3.89,22,0,0,Public,1,3,No,Yes,5,No,Yes,70,185,Youngest Child,Neither
3,Male,3.8,24,0,0,Public,1,3,No,No,1,No,No,70.5,200,Youngest Child,Cat
3.2,Female,3.9,25,0,0,Public,1,3,No,Yes,4,No,No,65,135,Middle Child,Dog
3,Male,3,26,0,0,Public,1,3,No,Yes,5,Yes,No,71,190,Youngest Child,Dog
2.85,Male,3.1,26,0,0,Public,1,3,No,Yes,1,Yes,No,70,155,Middle Child,Neither
2.4,Female,3.9,24,2,0,Public,1,3,No,No,6,No,No,69,168,Middle Child,Dog
2.98,Female,4,24,4,15,Public,1,3,No,Yes,5,No,No,62,115,Youngest Child,Dog
3.4,Male,4.02,27,0,30,Public,1,3,No,No,5,No,No,71,200,Oldest Child,Dog
3.16,Female,3.6,27,0,32,Public,1,3,No,No,2,No,No,69,144,Middle Child,Dog
2.98,Female,3.98,22,4,35,Public,1,3,No,No,5,No,No,70,175,Oldest Child,Dog
3,Female,3.2,28,0,40,Public,1,3,No,No,4,Yes,No,61,135,Oldest Child,Dog
2.98,Male,2.65,30,0,0,Private,2,3,No,No,5,Yes,Yes,72,135,Oldest Child,Dog
3.42,Male,3.3,23,0,0,Public,2,3,Yes,No,2,Yes,No,72,145,Middle Child,Neither
3.81,Female,3.8,24,6,0,Public,2,3,No,Yes,7,No,Yes,62,120,Youngest Child,Cat
3.46,Male,3.92,20,0,10,Public,3,3,No,No,2,Yes,Yes,70,160,Oldest Child,Both
2.6,Female,3.43,26,0,19,Private,1,4,No,No,4,Yes,Yes,67,165,Middle Child,Neither
2.75,Male,3.5,23,0,0,Public,1,4,No,Yes,1,No,No,70,158,Middle Child,Dog
2.28,Male,3,26,0,0,Public,1,4,No,No,3,Yes,Yes,71,180,Youngest Child,Dog
2.7,Male,3.8,25,3,0,Public,1,4,No,Yes,4,No,No,72,180,Youngest Child,Dog
3.1,Male,3.89,25,9,0,Public,1,4,No,Yes,7,No,Yes,74,235,Youngest Child,Dog
2.77,Male,3.45,22,18,0,Public,1,4,No,Yes,8,No,No,71,185,Middle Child,Dog
3.78,Female,3.8,27,0,12,Public,1,4,No,Yes,3,No,No,59,110,Oldest Child,Dog
2.98,Male,3.7,22,0,14,Public,1,4,No,No,2,No,Yes,67,210,Middle Child,Both
3.56,Female,3.94,28,12,15,Public,1,4,No,No,8,Yes,Yes,68,140,Youngest Child,Dog
2.85,Male,3.8,25,9,20,Public,1,4,No,Yes,2,No,Yes,76,195,Oldest Child,Dog
2.78,Male,3.79,21,12,35,Public,1,4,No,Yes,3,Yes,Yes,72,160,Oldest Child,Dog
2.85,Male,3.65,23,6,10,Private,2,4,Yes,Yes,4,Yes,No,73,189,Youngest Child,Neither
3.41,Female,3.75,26,0,0,Public,2,4,No,Yes,6,Yes,No,63,151,Middle Child,Neither
2.89,Female,3.1,24,0,40,Public,2,4,No,No,5,Yes,No,65,135,Middle Child,Dog
3.2,Female,4,35,15,0,Public,3,4,No,Yes,7,No,No,62,105,Only Child,Cat
3.96,Female,3.81,24,0,0,Private,1,5,No,Yes,7,No,No,64,110,Middle Child,Dog
3.3,Male,3.4,27,6,0,Private,1,5,No,Yes,4,No,Yes,71,182,Youngest Child,Dog
3.6,Female,3.4,28,0,4,Private,1,5,No,Yes,6,No,Yes,67,130,Youngest Child,Dog
3.44,Female,4,29,1,12,Private,1,5,No,No,9,Yes,No,60,100,Middle Child,Neither
2.89,Male,3.65,27,3,30,Private,1,5,No,Yes,2,Yes,No,73,195,Oldest Child,Neither
3.2,Female,3.5,22,0,0,Public,1,5,No,No,2,No,No,68,150,Oldest Child,Dog
3.34,Female,3.78,24,0,0,Public,1,5,No,Yes,3,Yes,No,67.5,132,Youngest Child,Dog
2.73,Female,3.6,25,3,0,Public,1,5,No,Yes,7,No,No,67,130,Middle Child,Dog
3.14,Female,3.44,27,6,0,Public,1,5,No,Yes,5,No,Yes,64,120,Youngest Child,Dog
3.14,Female,3.44,27,6,0,Public,1,5,No,Yes,6,No,Yes,64,120,Youngest Child,Dog
2.97,Female,3.5,23,6,6,Public,1,5,No,No,2,Yes,Yes,63,122,Middle Child,Dog
2.7,Male,3.2,25,0,10,Public,1,5,No,No,5,No,No,76,175,Oldest Child,Dog
3.2,Male,3.05,29,0,10,Public,1,5,No,No,2,Yes,Yes,70,170,Oldest Child,Dog
2.5,Male,3.25,25,6,18,Public,1,5,No,No,4,No,No,72,225,Oldest Child,Both
3.74,Male,4,27,12,0,Public,2,5,No,No,5,Yes,No,71,235,Youngest Child,Dog
2.85,Male,3.9,28,12,0,Public,2,5,No,Yes,2,No,No,72,150,Oldest Child,Dog
3.42,Female,3.7,23,4,0,Private,3,5,No,Yes,5,No,No,65,152,Youngest Child,Neither
2.99,Male,3.74,26,12,24,Public,3,5,No,No,8,No,No,66,125,Youngest Child,Dog
3.56,Female,3.75,24,0,15,Private,1,6,No,Yes,2,No,Yes,76,155,Oldest Child,Dog
2.23,Female,3.9,27,0,15,Private,1,6,No,No,7,Yes,Yes,67,130,Oldest Child,Dog
3.01,Male,3.27,24,0,0,Public,1,6,No,Yes,3,Yes,Yes,70,168,Oldest Child,Dog
3.25,Female,4,25,0,0,Public,1,6,No,Yes,4,No,No,62,165,Youngest Child,Dog
3.49,Male,4,29,0,0,Public,1,6,No,No,3,Yes,No,68,142,Only Child,Neither
3,Male,3.3,21,3,0,Public,1,6,No,Yes,1,Yes,No,72,145,Youngest Child,Dog
3.64,Female,3.9495,28,12,10,Public,1,6,No,No,5,Yes,No,69,140,Youngest Child,Dog
3.1,Male,3.8,29,0,12,Public,1,6,No,Yes,2,No,No,69,185,Only Child,Neither
3.65,Female,3.45,23,3,15,Public,1,6,No,Yes,2,No,No,65,150,Oldest Child,Cat
3.33,Female,3.34,22,0,25,Public,1,6,No,No,5,Yes,No,66,115,Oldest Child,Neither
2.78,Male,3.3,28,9,10,Private,2,6,No,No,3,Yes,Yes,72,240,Oldest Child,Dog
3.34,Female,3.64,28,2,6,Public,2,6,No,Yes,4,Yes,No,71,140,Oldest Child,Neither
3.33,Female,4,32,6,25,Public,2,6,No,No,4,Yes,No,66.25,162,Oldest Child,Dog
3.08,Male,3.92,24,0,28,Public,2,6,Yes,No,4,Yes,Yes,58,160,Youngest Child,Dog
2.95,Male,3.75,28,15,0,Private,1,7,No,Yes,7,No,Yes,76,190,Youngest Child,Neither
2.89,Female,3.7,24,0,0,Public,1,7,No,Yes,5,No,Yes,67,166,Middle Child,Dog
3.81,Male,3.9,25,6,0,Public,1,7,No,Yes,5,No,Yes,68,150,Youngest Child,Neither
2.81,Female,3.75,29,13,9,Public,1,7,No,Yes,4,Yes,Yes,64,130,Youngest Child,Dog
2.23,Male,3.33,27,0,12,Public,1,7,No,No,3,No,No,70,205,Youngest Child,Dog
2.05,Female,3.59,22,0,15,Public,1,7,No,No,8,No,No,67,260,Middle Child,Dog
3.82,Female,3.52,23,0,15,Public,1,7,No,No,3,Yes,No,68.4,125,Middle Child,Neither
2.64,Male,3.23,26,4,16,Public,1,7,No,No,6,Yes,No,67,154,Oldest Child,Dog
2.77,Male,3.55,28,0,25,Public,1,7,No,No,3,No,No,70,173,Youngest Child,Neither
3.35,Male,3.65,26,0,26,Public,1,7,No,Yes,2,Yes,Yes,68,140,Middle Child,Dog
3.23,Male,3.95,31,24,0,Private,1,8,No,Yes,2,Yes,No,70,170,Middle Child,Dog
3.56,Female,4,25,0,0,Public,1,8,No,Yes,10,Yes,Yes,64,120,Youngest Child,Neither
2.94,Female,4,27,8,0,Public,1,8,No,No,10,No,No,63,115,Oldest Child,Dog
3,Female,3.4,32,6,6,Public,1,8,No,Yes,4,No,Yes,67,130,Middle Child,Dog
3.82,Female,3.73,28,9,12,Public,1,8,No,Yes,0,Yes,Yes,65,109,Youngest Child,Cat
3.28,Male,3.69,26,6,15,Public,1,8,Yes,Yes,6,Yes,Yes,75,175,Youngest Child,Neither
3.23,Female,4,28,6,17,Public,1,8,No,No,6,No,Yes,62,108,Oldest Child,Dog
2.44,Male,3.72,26,0,20,Public,1,8,No,Yes,5,Yes,No,70,190,Oldest Child,Neither
2.01,Male,3.4,22,0,33,Public,1,8,No,No,3,No,No,77,135,Middle Child,Both
3.45,Female,3.98,26,2,35,Public,1,8,No,No,4,Yes,Yes,66,125,Youngest Child,Neither
2.78,Female,3.6,28,5,50,Public,1,8,No,Yes,5,Yes,No,60,106,Youngest Child,Neither
3.55,Male,3.67,29,0,12,Public,2,8,No,Yes,4,Yes,Yes,71,165,Oldest Child,Dog
3.72,Female,3.94,27,0,20,Public,2,8,No,Yes,2,Yes,Yes,64,125,Youngest Child,Neither
3.65,Male,3.86,26,12,24,Public,4,8,No,Yes,8,Yes,Yes,66,235,Youngest Child,Dog
2.79,Male,3.2,23,0,12,Public,1,9,No,Yes,1,Yes,Yes,76,185,Oldest Child,Both
3.5,Female,3.8,26,4,15,Public,1,9,No,Yes,5,Yes,Yes,63,112,Oldest Child,Neither
3.07,Male,3.87,23,6,20,Public,1,9,No,No,7,No,No,70,145,Middle Child,Neither
3.12,Male,3.6,31,8,15,Public,2,9,No,Yes,2,Yes,Yes,73,155,Middle Child,Dog
3.53,Female,3.8,21,9,30,Public,2,9,No,No,5,Yes,No,60,120,Oldest Child,Dog
2.9,Female,3.6,24,18,0,Private,1,10,No,No,5,Yes,No,67,126,Oldest Child,Both
3.15,Male,3.81,26,6,15,Private,1,10,No,Yes,4,Yes,Yes,68,156,Middle Child,Neither
3,Male,3.5,24,0,0,Public,1,10,No,Yes,3,No,Yes,70,160,Oldest Child,Dog
2.6,Male,4,18,6,0,Public,1,10,No,No,3,No,Yes,73,255,Oldest Child,Dog
2.98,Male,3.8,30,14,0,Public,1,10,No,Yes,4,No,No,71,171,Youngest Child,Dog
3.29,Male,3.5,26,0,8,Public,1,10,No,No,1,No,No,70,170,Only Child,Dog
3.01,Female,3.7,26,9,10,Public,1,10,No,No,8,Yes,No,62,120,Oldest Child,Dog
3.5,Female,3.875,24,4,14,Public,1,10,No,No,1,Yes,Yes,66,120,Only Child,Neither
3.02,Female,3,28,0,15,Public,1,10,No,No,2,Yes,Yes,64,133,Middle Child,Neither
3.65,Female,3.75,25,6,15,Public,1,10,No,No,2,No,No,60,134,Oldest Child,Cat
2.82,Male,2.7,19,0,20,Public,1,10,No,Yes,2,Yes,Yes,63,200,Youngest Child,Dog
2.88,Male,3.33,22,0,30,Public,1,10,No,No,3,No,Yes,70,210,Only Child,Neither
3.41,Female,4,30,6,0,Public,2,10,No,Yes,3,No,Yes,64,135,Middle Child,Dog
2.81,Female,3.9,21,0,15,Public,2,10,No,No,2,Yes,No,67,125,Youngest Child,Neither
3.76,Male,4.2,28,4,40,Public,2,10,No,No,2,Yes,Yes,73,205,Oldest Child,Cat
3.56,Female,4,30,3,0,Public,1,12,No,Yes,7,No,Yes,69,150,Oldest Child,Cat
3.75,Male,4,32,18,0,Public,1,12,No,Yes,5,No,Yes,70,165,Middle Child,Dog
3.4,Female,3.4,26,3,6,Public,1,12,No,Yes,3,No,Yes,66,115,Oldest Child,Dog
3.6,Male,3.27,31,6,20,Public,1,12,No,Yes,2,Yes,No,69,200,Only Child,Neither
3.67,Female,3.82,27,0,40,Public,1,12,No,No,8,No,No,70,160,Youngest Child,Cat
2.72,Female,3.7,24,6,40,Public,1,12,No,No,5,Yes,Yes,71,145,Middle Child,Dog
3.62,Male,3.88,26,0,0,Public,2,12,No,No,5,Yes,Yes,76,200,Oldest Child,Dog
3.33,Male,3,32,6,6,Public,2,12,No,No,4,No,No,76,205,Youngest Child,Dog
3.42,Male,3.99,28,0,0,Public,3,12,No,Yes,7,No,Yes,72,188,Oldest Child,Cat
3.42,Male,3.88,26,9,2,Public,1,13,No,Yes,3,No,Yes,72,155,Oldest Child,Dog
3.85,Female,3.65,29,0,25,Public,1,13,No,No,3,No,Yes,60,118,Oldest Child,Dog
3.71,Female,3.3,25,6,15,Public,2,13,No,No,4,Yes,No,61.5,124,Middle Child,Dog
2.83,Male,4.12,29,6,0,Public,1,14,No,Yes,2,Yes,No,70,175,Oldest Child,Dog
3.62,Female,3.85,29,30,25,Private,1,15,No,Yes,5,Yes,Yes,68,175,Youngest Child,Dog
1.96,Female,3.33,26,0,0,Public,2,15,No,No,4,Yes,No,63,112,Middle Child,Neither
3,Female,4.2,27,6,7,Public,2,15,No,No,3,No,No,66,175,Oldest Child,Dog
3.52,Male,4.58,30,24,20,Public,2,15,No,No,4,Yes,No,72,150,Oldest Child,Neither
3.07,Male,3.8,24,4,10,Private,1,16,No,No,5,Yes,Yes,69,173,Oldest Child,Dog
3.64,Female,3.8,23,15,10,Public,1,16,No,No,10,No,No,62,100,Middle Child,Dog
3.3,Female,3.8,25,12,0,Public,2,16,No,No,4,Yes,No,61,125,Oldest Child,Cat
2.79,Female,4.3,28,4,15,Public,2,17,No,No,4,Yes,No,67,130,Youngest Child,Neither
3.25,Male,3.45,24,0,0,Public,1,18,No,No,5,Yes,No,74,170,Youngest Child,Dog
3.4,Female,3.9,26,0,0,Public,2,18,No,Yes,6,Yes,Yes,66,128,Middle Child,Dog
3.75,Female,3.97,34,22,24,Public,1,19,No,No,6,No,No,71,155,Oldest Child,Neither
3.24,Male,3.6,25,0,0,Public,1,20,No,Yes,4,No,No,70,220,Youngest Child,Cat
3.15,Female,3.2,29,3,0,Public,2,20,No,Yes,5,Yes,Yes,65,125,Youngest Child,Neither
3.35,Male,4,28,14,0,Public,2,20,No,Yes,3,Yes,Yes,69,170,Oldest Child,Dog
1.89,Male,3.87,33,12,30,Public,2,20,No,Yes,3,Yes,No,71,165,Oldest Child,Dog
3.56,Female,4,26,36,20,Public,1,24,No,No,5,No,Yes,73,160,Only Child,Cat
3.07,Male,4,33,15,17,Public,1,25,No,Yes,3,Yes,No,71,200,Oldest Child,Neither
3.52,Female,2.8,25,9,10,Public,2,26,No,Yes,1,Yes,No,66,137,Oldest Child,Dog
2.3,Male,3.96,24,20,35,Public,4,26,No,No,4,Yes,Yes,66,165,Oldest Child,Dog
3.2,Male,2.88,26,0,0,Public,1,30,No,No,1,Yes,No,70,175,Middle Child,Dog
3.69,Female,3.97,27,0,18,Public,1,30,No,No,5,No,Yes,67,131,Only Child,Dog
3.7,Female,3.81,31,27,0,Public,1,48,No,Yes,9,Yes,No,69,165,Oldest Child,Dog
3.86,Female,4,28,12,0,Public,1,50,No,No,4,Yes,No,64,110,Middle Child,Dog
3.97,Female,3.2,26,0,0,Private,1,0,No,Yes,1,Yes,No,62,122,Middle Child,Dog
2.4,Male,3,26,0,0,Public,1,0,No,Yes,0,Yes,No,76,189,Only Child,Dog
3,Female,3.21,23,0,7,Public,1,0,No,Yes,0,Yes,No,65,120,Oldest Child,Dog
3.33,Female,3.71,29,0,8,Public,1,0,No,Yes,6,Yes,No,63,120,Oldest Child,Dog
3.56,Male,3.3,17,0,12,Public,1,0,No,Yes,2,Yes,No,67,151,Middle Child,Both
3.2,Male,3.66,29,0,12,Public,1,0,No,No,5,Yes,No,69,185,Oldest Child,Dog
3.55,Female,3.34,23,0,18,Public,1,0,No,No,5,Yes,No,66,130,Middle Child,Dog
3.2,Male,2.7,25,0,0,Private,2,0,Yes,Yes,5,No,Yes,72,170,Youngest Child,Dog
2.3,Male,3.2,22,0,18,Private,2,0,No,Yes,5,Yes,Yes,75,225,Oldest Child,Dog
2.8,Male,3.6,29,3,15,Private,1,1,No,Yes,7,No,Yes,75,190,Middle Child,Dog
3.64,Male,3.55,24,3,25,Public,1,1,Yes,No,3,Yes,No,71,151,Oldest Child,Dog
3.71,Female,3.45,21,0,40,Public,1,1,No,No,10,Yes,No,66,150,Only Child,Neither
2.72,Female,3.4,23,3,40,Public,1,1,No,No,3,Yes,Yes,57,121,Only Child,Dog
3.3,Male,3.6,28,0,0,Public,1,2,No,Yes,1,No,No,69,165,Youngest Child,Dog
3.7,Male,3.82,28,9,16,Private,1,3,No,Yes,3,Yes,Yes,72,185,Youngest Child,Dog
3.08,Female,3.78,27,0,0,Public,1,3,No,No,3,No,No,63,95,Only Child,Neither
3.74,Female,3.9,24,8,7,Public,1,3,No,No,4,Yes,Yes,63,114,Oldest Child,Dog
3,Male,3.75,25,0,27,Public,1,3,No,Yes,3,Yes,No,70,210,Youngest Child,Dog
2.91,Female,3.72,28,0,40,Public,1,3,No,Yes,4,Yes,No,64,135,Youngest Child,Dog
3,Male,2.9,21,15,0,Private,2,3,No,Yes,2,No,No,74,188,Youngest Child,Dog
2.74,Female,3.81,32,41,35,Private,2,3,No,No,4,Yes,No,66,190,Only Child,Dog
3.99,Male,4,29,6,0,Public,2,3,No,Yes,4,No,Yes,72,160,Oldest Child,Dog
3.34,Male,3.69,31,16,0,Private,1,4,No,Yes,8,No,No,73,180,Middle Child,Dog
3.1,Male,3,25,0,6,Private,1,4,No,No,5,No,Yes,65,160,Youngest Child,Dog
3.23,Female,3.33,22,8,0,Public,1,4,No,Yes,5,Yes,Yes,64,140,Oldest Child,Dog
3.01,Female,4.05,26,9,12,Public,1,4,Yes,No,4,Yes,No,66,147,Only Child,Cat
3.27,Female,3.53,25,0,16,Public,1,4,No,Yes,2,Yes,No,64,100,Only Child,Cat
3.78,Male,3.7,29,2,25,Private,2,4,No,No,4,Yes,Yes,75,186,Middle Child,Cat
2.78,Male,3.78,28,12,0,Public,2,4,No,Yes,5,No,Yes,68,175,Middle Child,Neither
3.78,Male,3.8,26,0,30,Public,3,4,No,Yes,3,Yes,No,68,155,Middle Child,Cat
3.3,Female,3.97,23,0,20,Public,1,5,No,Yes,14,No,Yes,69,160,Middle Child,Neither
3.83,Male,3.6,28,3,0,Private,1,6,No,Yes,1,No,No,69,175,Youngest Child,Dog
2.47,Male,3.89,20,0,20,Public,1,6,No,No,4,No,Yes,73,210,Middle Child,Dog
3.15,Female,3.7,22,0,0,Public,2,6,No,Yes,4,No,No,60,115,Middle Child,Dog
2.43,Female,3.8,23,0,0,Public,2,7,No,No,5,No,No,64,145,Youngest Child,Neither
3.69,Female,3.8,27,4,12,Public,2,7,No,Yes,3,Yes,No,68,140,Youngest Child,Neither
3.87,Male,4.34,28,4,1,Public,3,7,No,Yes,2,No,No,70,262,Oldest Child,Dog
3.56,Female,4,29,0,0,Public,1,8,No,Yes,6,Yes,No,69,170,Oldest Child,Dog
3.84,Female,4,30,8,8,Public,1,8,No,No,4,Yes,Yes,66,160,Middle Child,Dog
3.12,Male,3.4,27,3,16,Public,2,9,No,Yes,5,Yes,No,73,162,Youngest Child,Neither
2.47,Female,3.9,31,19,30,Public,2,9,Yes,Yes,6,Yes,No,67,135,Oldest Child,Dog
2.65,Male,3.14,26,0,0,Public,1,10,No,No,2,No,No,72,160,Youngest Child,Dog
3.35,Female,3.75,24,30,8,Public,1,10,No,Yes,2,No,Yes,67,136,Youngest Child,Cat
3.1,Male,4,32,0,10,Public,1,12,No,Yes,5,No,Yes,72,160,Youngest Child,Dog
3.98,Male,4.21,32,22,10,Public,2,14,Yes,Yes,0,No,No,71,172,Youngest Child,Both
3.2,Female,4.23,25,9,16,Public,1,16,No,Yes,6,Yes,Yes,66,135,Oldest Child,Neither
3,Female,4,27,3,16,Public,2,16,No,Yes,10,Yes,No,67,140,Youngest Child,Dog
3.5,Female,4,29,0,0,Public,1,20,No,Yes,5,Yes,No,68,130,Youngest Child,Neither
3.5,Female,4.3,28,6,20,Public,1,20,Yes,No,5,Yes,No,65,120,Middle Child,Dog
3.57,Female,3.99,25,20,15,Public,2,20,No,No,10,Yes,Yes,62,120,Oldest Child,Dog
