ST_CO,Name,Counts
GA001,Appling,"1,400"
GA003,Atkinson,461
GA005,Bacon,831
GA007,Baker,262
GA009,Baldwin,"3,940"
GA011,Banks,"2,031"
GA013,Barrow,"10,603"
GA015,Bartow,"11,771"
GA017,Ben Hill,"1,555"
GA019,Berrien,"1,446"
GA021,Bibb,"16,419"
GA023,Bleckley,"1,113"
GA025,Brantley,"1,715"
GA027,Brooks,"1,058"
GA029,Bryan,"6,994"
GA031,Bulloch,"7,554"
GA033,Burke,"2,593"
GA035,Butts,"2,800"
GA037,Calhoun,392
GA039,Camden,"7,889"
GA043,Candler,967
GA045,Carroll,"12,224"
GA047,Catoosa,"6,663"
GA049,Charlton,"1,085"
GA051,Chatham,"30,943"
GA053,Chattahoochee,215
GA055,Chattooga,"2,049"
GA057,Cherokee,"31,083"
GA059,Clarke,"11,407"
GA061,Clay,425
GA063,Clayton,"22,502"
GA065,Clinch,590
GA067,Cobb,"69,121"
GA069,Coffee,"3,065"
GA071,Colquitt,"3,836"
GA073,Columbia,"20,911"
GA075,Cook,"1,578"
GA077,Coweta,"15,919"
GA079,Crawford,"1,102"
GA081,Crisp,"2,160"
GA083,Dade,"1,724"
GA085,Dawson,"4,975"
GA087,Decatur,"2,893"
GA089,Dekalb,"62,947"
GA091,Dodge,"1,514"
GA093,Dooly,884
GA095,Dougherty,"6,624"
GA097,Douglas,"14,090"
GA099,Early,"1,184"
GA101,Echols,202
GA103,Effingham,"8,257"
GA105,Elbert,"2,539"
GA107,Emanuel,"2,055"
GA109,Evans,921
GA111,Fannin,"7,095"
GA113,Fayette,"11,158"
GA115,Floyd,"9,523"
GA117,Forsyth,"28,185"
GA119,Franklin,"3,043"
GA121,Fulton,"106,395"
GA123,Gilmer,"9,583"
GA125,Glascock,284
GA127,Glynn,"11,600"
GA129,Gordon,"5,716"
GA131,Grady,"2,280"
GA133,Greene,"4,462"
GA135,Gwinnett,"77,481"
GA137,Habersham,"5,290"
GA139,Hall,"22,370"
GA141,Hancock,"1,733"
GA143,Haralson,"2,929"
GA145,Harris,"4,435"
GA147,Hart,"3,957"
GA149,Heard,"1,011"
GA151,Henry,"26,387"
GA153,Houston,"17,906"
GA155,Irwin,728
GA157,Jackson,"11,614"
GA159,Jasper,"2,466"
GA161,Jeff Davis,"1,199"
GA163,Jefferson,"1,627"
GA165,Jenkins,820
GA167,Johnson,737
GA169,Jones,"2,717"
GA171,Lamar,"2,130"
GA173,Lanier,"1,182"
GA175,Laurens,"4,562"
GA177,Lee,"3,202"
GA179,Liberty,"6,867"
GA181,Lincoln,"1,649"
GA183,Long,"2,472"
GA185,Lowndes,"12,550"
GA187,Lumpkin,"4,377"
GA189,McDuffie,"1,933"
GA191,McIntosh,"2,672"
GA193,Macon,"1,017"
GA195,Madison,"3,094"
GA197,Marion,710
GA199,Meriwether,"2,296"
GA201,Miller,587
GA205,Mitchell,"1,563"
GA207,Monroe,"3,563"
GA209,Montgomery,774
GA211,Morgan,"2,503"
GA213,Murray,"3,180"
GA215,Muscogee,"16,035"
GA217,Newton,"12,347"
GA219,Oconee,"4,578"
GA221,Oglethorpe,"1,935"
GA223,Paulding,"18,967"
GA225,Peach,"2,833"
GA227,Pickens,"5,673"
GA229,Pierce,"2,151"
GA231,Pike,"2,137"
GA233,Polk,"4,044"
GA235,Pulaski,"1,238"
GA237,Putnam,"4,519"
GA239,Quitman,551
GA241,Rabun,"3,509"
GA243,Randolph,495
GA245,Richmond,"18,171"
GA247,Rockdale,"9,011"
GA249,Schley,505
GA251,Screven,"1,323"
GA253,Seminole,"1,236"
GA255,Spalding,"8,307"
GA257,Stephens,"3,345"
GA259,Stewart,431
GA261,Sumter,"2,602"
GA263,Talbot,687
GA265,Taliaferro,278
GA267,Tattnall,"1,760"
GA269,Taylor,866
GA271,Telfair,"1,184"
GA273,Terrell,781
GA275,Thomas,"4,813"
GA277,Tift,"3,428"
GA279,Toombs,"2,369"
GA281,Towns,"3,373"
GA283,Treutlen,464
GA285,Troup,"7,062"
GA287,Turner,813
GA289,Twiggs,777
GA291,Union,"6,417"
GA293,Upson,"3,076"
GA295,Walker,"7,211"
GA297,Walton,"11,414"
GA299,Ware,"3,514"
GA301,Warren,628
GA303,Washington,"1,602"
GA305,Wayne,"3,067"
GA307,Webster,290
GA309,Wheeler,384
GA311,White,"4,845"
GA313,Whitfield,"7,795"
GA315,Wilcox,676
GA317,Wilkes,"1,019"
GA319,Wilkinson,955
GA321,Worth,"1,814"
TN001,Anderson,"8,090"
TN003,Bedford,"5,718"
TN005,Benton,"3,246"
TN007,Bledsoe,"2,019"
TN009,Blount,"16,407"
TN011,Bradley,"12,031"
TN013,Campbell,"5,968"
TN015,Cannon,"1,786"
TN017,Carroll,"3,894"
TN019,Carter,"6,119"
TN021,Cheatham,"4,952"
TN023,Chester,"1,876"
TN025,Claiborne,"4,113"
TN027,Clay,"1,696"
TN029,Cocke,"4,894"
TN031,Coffee,"6,428"
TN033,Crockett,"1,544"
TN035,Cumberland,"12,695"
TN037,Davidson,"75,682"
TN039,Decatur,"2,638"
TN041,Dekalb,"4,423"
TN043,Dickson,"6,441"
TN045,Dyer,"4,136"
TN047,Fayette,"5,801"
TN049,Fentress,"3,740"
TN051,Franklin,"6,109"
TN053,Gibson,"6,576"
TN055,Giles,"3,681"
TN057,Grainger,"2,582"
TN059,Greene,"8,529"
TN061,Grundy,"2,260"
TN063,Hamblen,"7,223"
TN065,Hamilton,"40,867"
TN067,Hancock,980
TN069,Hardeman,"2,910"
TN071,Hardin,"6,656"
TN073,Hawkins,"7,744"
TN075,Haywood,"1,717"
TN077,Henderson,"2,972"
TN079,Henry,"5,249"
TN081,Hickman,"2,873"
TN083,Houston,"1,235"
TN085,Humphreys,"3,004"
TN087,Jackson,"1,705"
TN089,Jefferson,"8,662"
TN091,Johnson,"2,957"
TN093,Knox,"54,377"
TN095,Lake,608
TN097,Lauderdale,"2,100"
TN099,Lawrence,"5,662"
TN101,Lewis,"1,856"
TN103,Lincoln,"4,549"
TN105,Loudon,"9,974"
TN107,McMinn,"6,631"
TN109,McNairy,"3,284"
TN111,Macon,"3,139"
TN113,Madison,"10,963"
TN115,Marion,"4,524"
TN117,Marshall,"4,790"
TN119,Maury,"15,020"
TN121,Meigs,"1,973"
TN123,Monroe,"6,934"
TN125,Montgomery,"27,342"
TN127,Moore,795
TN129,Morgan,"2,545"
TN131,Obion,"3,617"
TN133,Overton,"3,218"
TN135,Perry,"2,151"
TN137,Pickett,"1,163"
TN139,Polk,"2,675"
TN141,Putnam,"9,112"
TN143,Rhea,"4,506"
TN145,Roane,"7,696"
TN147,Robertson,"8,832"
TN149,Rutherford,"38,950"
TN151,Scott,"2,283"
TN153,Sequatchie,"2,662"
TN155,Sevier,"22,013"
TN157,Shelby,"79,909"
TN159,Smith,"2,498"
TN161,Stewart,"2,370"
TN163,Sullivan,"17,681"
TN165,Sumner,"22,449"
TN167,Tipton,"6,002"
TN169,Trousdale,"1,315"
TN171,Unicoi,"1,830"
TN173,Union,"3,193"
TN175,Van Buren,"1,394"
TN177,Warren,"5,104"
TN179,Washington,"15,023"
TN181,Wayne,"2,565"
TN183,Weakley,"3,596"
TN185,White,"3,724"
TN187,Williamson,"30,117"
TN189,Wilson,"19,492"
,,
Total,,"1,915,434"
